,vendor,category_level_1,category_level_2,category_level_3,highest_category,product,price in $,shipping_from,shipping_to,url
12368,upsworldwide,Drugs and Chemicals,Cannabis & Hash,Vaping,Vaping,tropical kush 100ml,194.63,United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/tropical-kush-100ml
12369,dansharpe,Drugs and Chemicals,Cannabis & Hash,Shake,Shake,AMG AMNESIA SHAKE WEED 25G,131.26,Belgium,Europe,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/amg-amnesia-shake-weed-25g
12370,420ENVY,Drugs and Chemicals,Cannabis & Hash,,Cannabis & Hash,3.5G 29% THC COOKIES STRAIN: BERNER'S COOKIES,39.99,United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/35g-29-thc-cookies-strain-berners-cookies
12371,Island_Paradise,Drugs and Chemicals,Stimulants,Meth,Meth,[50 GRAMS] ★ CRYSTAL METH HQ ICE SHARDS ★,"1,312.63",Germany,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/50-grams-crystal-meth-hq-ice-shards
12372,pluguk,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,3.5g Columbia RAW cocaine 225,312.80,United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/35g-columbia-raw-cocaine-225
12373,terrywhitedp,Drugs and Chemicals,Ecstasy,MDMA,MDMA,MDMA dutch import uncut 14 grams,930.21,Australia,Australia,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/mdma-dutch-import-uncut-14-grams
12374,RoyalMailer,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,1000g - Ghost OG HQ NDD UK2UK,"8,063.31",United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/1000g-ghost-og-hq-ndd-uk2uk
12375,LucySkyDiamonds,Drugs and Chemicals,Psychedelics,LSD,LSD,0.5 g LSD 99.5%+ pure Aztec crystal II gen,"7,600.00",United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/05-g-lsd-995-pure-aztec-crystal-ii-gen
12376,DutchFrenchTeam,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,2gr Colombian Cocaine HQ France To Europe !,155.13,France,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/2gr-colombian-cocaine-hq-france-to-europe
12377,richhigh999,Drugs and Chemicals,Opiates,Oxycodone,Oxycodone,oxycontin oxycodone mundipharma 40mg OC 84 pills,"1,400.00",,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/oxycontin-oxycodone-mundipharma-40mg-oc-84-pills
12378,RoleXx17,Drugs and Chemicals,Opiates,Heroin,Heroin,1 GR  ★Turkish Heroin ★ 100% ★ FREE Shipping ★,29.83,Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/1-gr-turkish-heroin-100-free-shipping
12379,California420Service,Drugs and Chemicals,Cannabis & Hash,Hash,Hash,Puffweiser BLUE BISCOTTI Crumble 1G,60.00,United States,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/puffweiser-blue-biscotti-crumble-1g
12380,dutchsuperior,Drugs and Chemicals,Stimulants,Speed,Speed,"SPEED PURE PASTE 73%, 100GRAM",83.53,Netherlands,Europe,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/speed-pure-paste-73-100gram
12381,drkend,Drugs and Chemicals,Dissociatives,,Dissociatives,Buy 2FDCK Online (1 KG ),"9,000.00",China,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/buy-2fdck-online-1-kg
12382,inc,Drugs and Chemicals,Ecstasy,MDMA,MDMA,MDMA 14G - BUDGET - INC.,651.14,Australia,Australia,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/mdma-14g-budget-inc
12383,DutchPharmacy,Drugs and Chemicals,Stimulants,,Stimulants,1 gram KETAMINE S-isomer HQ,22.67,Germany,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/1-gram-ketamine-s-isomer-hq
12384,bulkbars,Drugs and Chemicals,Benzos,,Benzos,BROMAZOLAM POWDER X5g USA-USA,350.00,United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/bromazolam-powder-x5g-usa-usa
12385,Coffeshop,Drugs and Chemicals,Stimulants,Speed,Speed,CHERRY SPEED 74% HQ  250 GRAM,298.32,Germany,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/cherry-speed-74-hq-250-gram
12386,scoobydoodrugs,Drugs and Chemicals,Ecstasy,,Ecstasy,25 XTC*** 230/250/280 MG MDMA*** HQ,56.09,Germany,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/25-xtc-230250280-mg-mdma-hq
12387,DrugsCenter,Drugs and Chemicals,Cannabis & Hash,,Cannabis & Hash,1000g(1kg) DC Pollen HashDC (( Mid Quality )),"2,224.36",United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/1000g1kg-dc-pollen-hashdc-mid-quality
12388,packflipper,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,(1) OZ 80-90% Pure Peruvian Flake Cocaine,"1,900.00",United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/1-oz-80-90-pure-peruvian-flake-cocaine
12389,tomandjerry,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,100 grams High Quality Cocaine [90%],"6,199.00",Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/100-grams-high-quality-cocaine-90
12390,MisterX,Drugs and Chemicals,Dissociatives,Ketamine,Ketamine,100GR x KETAMINE S-ISOMER NEEDLE TYPE xHIGHQUALITY,"1,431.96",Germany,Europe,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/100gr-x-ketamine-s-isomer-needle-type-xhighquality
12391,GulfCoastPharma,Drugs and Chemicals,Psychedelics,Mushrooms,Mushrooms,Golden Teacher Mushrooms (3.5g),45.00,United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/golden-teacher-mushrooms-35g
12392,Picasso,Drugs and Chemicals,Stimulants,Speed,Speed,50g Amphetaminen Speed Paste AAA+++,268.49,Germany,Germany,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/50g-amphetaminen-speed-paste-aaa
12393,bighorndodge,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,28 Grams Pure Cocaine Right Off The Brick,"1,700.00",United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/28-grams-pure-cocaine-right-off-the-brick
12394,Pygmalion,Drugs and Chemicals,Stimulants,TMA,TMA,1g   TMA-2,167.06,United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/1g-tma-2
12395,DaShop,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,7G COCAINE A1 BATCH,399.00,United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/7g-cocaine-a1-batch
12396,DrugzDealerNRW,Drugs and Chemicals,Opiates,Heroin,Heroin,5g HQ Uncut Heroin 84% (Lab. Tested),226.73,Germany,Germany,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/5g-hq-uncut-heroin-84-lab-tested-1
12397,RoleXx17,Drugs and Chemicals,Ecstasy,MDMA,MDMA,★ 1 GR ★  mdma★  ★  champagne ★,15.00,Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/1-gr-mdma-champagne
12398,greatwhite,Drugs and Chemicals,Cannabis & Hash,Seeds,Seeds,1 x Grapefruit Haze automatic seed,4.30,,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/1-x-grapefruit-haze-automatic-seed
12399,MixedArbilyDE,Drugs and Chemicals,Benzos,Pills,Pills,100 x 5mg Xanax Red Devil Bars(Worldwide Delivery),238.66,Germany,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/100-x-5mg-xanax-red-devil-barsworldwide-delivery
12400,happyshopper,Drugs and Chemicals,Benzos,Pills,Pills,40x 10mg WATSON PHARMA DIAZEPAM PILLS,38.93,United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/40x-10mg-watson-pharma-diazepam-pills
12401,RoyalMailer,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,3.5g - Strawberry Banana HQ NDD UK2UK,55.61,United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/35g-strawberry-banana-hq-ndd-uk2uk
12402,ShinyFlakez,Drugs and Chemicals,Cannabis & Hash,Hash,Hash,2.5 Kilo Hash/Skuff,"11,634.67",Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/25-kilo-hashskuff
12403,LucySkyDiamonds,Drugs and Chemicals,Psychedelics,LSD,LSD,1 crying bug LSD tab 510ug  (for experts only),14.00,United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/1-crying-bug-lsd-tab-510ug-for-experts-only
12404,Pygmalion,Drugs and Chemicals,Psychedelics,DMT,DMT,5 DMT cartridges,131.26,United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/5-dmt-cartridges
12405,kenza,Drugs and Chemicals,Benzos,,Benzos,SPC Diazepam 10mg x 1000,695.11,United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/spc-diazepam-10mg-x-1000
12406,Epharma,Drugs and Chemicals,Benzos,Pills,Pills,28 TABS TEMAZEPAM10MG,33.37,United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/28-tabs-temazepam10mg
12407,NotCal2020,Drugs and Chemicals,Psychedelics,Mushrooms,Mushrooms,PENIS ENVY MAGIC MUSHROOMS  1/4 OZ TO 1 OZ,60.00,United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/penis-envy-magic-mushrooms-14-oz-to-1-oz
12408,americansteroids,Drugs and Chemicals,Steroids,,Steroids,Testosterone Enanthate 250,40.00,United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/testosterone-enanthate-250
12409,FASTmedsUK,Drugs and Chemicals,Benzos,Pills,Pills,Zopiclone 7.5mg x 40 UK/EU Shipping,53.60,United Kingdom,Europe,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/zopiclone-75mg-x-40-ukeu-shipping
12410,greyhounduk,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,0.1g-28g Pure Cocaine,1.39,United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/01g-28g-pure-cocaine
12411,Dimma,Drugs and Chemicals,,,Drugs and Chemicals,x100 Xanax Ro39 or Originalx2 Worldwide Shipping,111.22,United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/x100-xanax-ro39-or-originalx2-worldwide-shipping
12412,ADHD,Drugs and Chemicals,Stimulants,Speed,Speed,0.5 Grams Pure Amphetamine Speed Powder,8.35,Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/05-grams-pure-amphetamine-speed-powder
12413,Truesmokers,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,3.5G U.K.GELATO 33 (CoCoGrower Cutz) AAA+,48.66,United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/35g-ukgelato-33-cocogrower-cutz-aaa
12414,DrBlow,Drugs and Chemicals,Stimulants,Adderal,Adderal,25X Very-High Quality ADDERRALL,180.00,United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/25x-very-high-quality-adderrall-3
12415,inc,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,PARTYPACK - 1G - COKEAGRADE + 1BOX - VALIUM - INC.,434.10,Australia,Australia,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/partypack-1g-cokeagrade-1box-valium-inc
12416,thelab1,Drugs and Chemicals,,,Drugs and Chemicals,SGT-151 -  10g,400.00,China,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/sgt-151-10g
12417,Coffeshop,Drugs and Chemicals,Stimulants,Meth,Meth,*** 25 GRAM *** CRYSTAL METH SHARDS ORIGINAL 99%,745.81,Germany,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/25-gram-crystal-meth-shards-original-99
12418,amsterdamxpress,Drugs and Chemicals,,,Drugs and Chemicals,100 GRAM* Crystal Meth shards 86% -AmsterdamXpress,"4,033.35",,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/100-gram-crystal-meth-shards-86-amsterdamxpress
12419,OriginalGerMeds,Drugs and Chemicals,Opiates,Oxycodone,Oxycodone,Oxycodon 20mg Oxygesic/Oxycontin,11.81,Germany,Germany,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/oxycodon-20mg-oxygesicoxycontin
12420,major2minor,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,2G COCAINE CALI BATCH,142.00,United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/2g-cocaine-cali-batch
12421,Lemmonflavor,Drugs and Chemicals,Cannabis & Hash,Edibles,Edibles,50 Mix Pack - 25 lollipops and 25 jolly ranchers!,145.00,United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/50-mix-pack-25-lollipops-and-25-jolly-ranchers
12422,tomandjerry,Drugs and Chemicals,Stimulants,Crack,Crack,Half O. (14g) Excelent Quality Crack Cocaine [89%],899.00,Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/half-o-14g-excelent-quality-crack-cocaine-89
12423,THEPOSTMAN,Drugs and Chemicals,Cannabis & Hash,Hash,Hash,10g SOUR DIESEL CRITICAL DRY SIFT PREMIUM HASH **,137.63,United Kingdom,Europe,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/10g-sour-diesel-critical-dry-sift-premium-hash
12424,Pharmacist,Drugs and Chemicals,,,Drugs and Chemicals,Viagra / Cenforce 100mg x 60 pills,35.00,United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/viagra-cenforce-100mg-x-60-pills
12425,RoyalMailer,Drugs and Chemicals,Cannabis & Hash,Vaping,Vaping,10x Tropical Haze THC Vape Juice 10ml - UK,278.05,United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/10x-tropical-haze-thc-vape-juice-10ml-uk
12426,DrugAmazon,Drugs and Chemicals,Dissociatives,Ketamine,Ketamine,1g Ketamine 99% PURE,35.80,Germany,Europe,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/1g-ketamine-99-pure
12427,Venture,Drugs and Chemicals,Ecstasy,Pills,Pills,5x (XTC) 69 Pills 250mg,23.87,Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/5x-xtc-69-pills-250mg
12428,DrBlow,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,2G Very-High-Quality Cocaine USA-USA,250.00,United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/2g-very-high-quality-cocaine-usa-usa-1
12429,superfleks,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,20gr Pure Colombian Fischscale Cocaine AAA+,"1,431.96",Germany,Europe,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/20gr-pure-colombian-fischscale-cocaine-aaa
12430,jamesocean,Drugs and Chemicals,Benzos,Pills,Pills,Xanax 5mg bar R666 Alprazolam- FREE UK,4.17,United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/xanax-5mg-bar-r666-alprazolam-free-uk
12431,FENDI,Drugs and Chemicals,,,Drugs and Chemicals,14gr of Melon Haze - Import - THC 24% / HIGH Q,180.73,United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/14gr-of-melon-haze-import-thc-24-high-q
12432,Everylittlehalps,Drugs and Chemicals,Ecstasy,MDMA,MDMA,*LIMITED.OFFER* 3G PURE MDMA PLATINUM 86% CRYSTAL,36.15,United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/limitedoffer-3g-pure-mdma-platinum-86-crystal
12433,drkend,Drugs and Chemicals,Benzos,,Benzos,Buy Alprazolam Powder Online (500g ),"7,000.00",China,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/buy-alprazolam-powder-online-500g
12434,SteroidWarehouse,Drugs and Chemicals,Steroids,,Steroids,Test Propionate – 100 mg/ml/ 10ml – SP - exp. 2022,59.66,Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/test-propionate-100-mgml-10ml-sp-exp-2022
12435,Island_Paradise,Drugs and Chemicals,Dissociatives,Ketamine,Ketamine,[500 GRAMS] ★ KETAMINE HIGH QUALITY NEEDLE ★,"4,773.20",Germany,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/500-grams-ketamine-high-quality-needle
12436,maurelius,Drugs and Chemicals,Cannabis & Hash,Shake,Shake,14g Amnesia Haze Dust Shake Trim 56 GBP,77.85,United Kingdom,"United Kingdom, Ireland",http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/14g-amnesia-haze-dust-shake-trim-56-gbp
12437,SocialPharma1,Drugs and Chemicals,Benzos,,Benzos,TEMAZEPAM-CT 20MG EGGS 20Capsules,69.51,United Kingdom,Europe,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/temazepam-ct-20mg-eggs-20capsules
12438,ScotchAndCoca,Drugs and Chemicals,Stimulants,Meth,Meth,25 gram Crystal Meth (98%),714.79,Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/25-gram-crystal-meth-98-1
12439,jnenfrancis,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,14G UNCUT RAW COCAINE **FREE UK DELIVERY**,"1,091.33",United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/14g-uncut-raw-cocaine-free-uk-delivery
12440,ONEMILLION,Drugs and Chemicals,Stimulants,Speed,Speed,1 KG - PURE Dutch Speed Paste [NO ADDITIVES],"1,789.95",Germany,Europe,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/1-kg-pure-dutch-speed-paste-no-additives
12441,DutchGlory,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,(1G) - Colombian Cocaine >> 1Gr MDMA  FREE,71.60,Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/1g-colombian-cocaine-1gr-mdma-free-7
12442,DrugzDealerNRW,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,4g Kokain 99%  mit Alkohol und Azeton gewaschen,381.86,Germany,Germany,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/4g-kokain-99-mit-alkohol-und-azeton-gewaschen
12443,cadillacblack,Drugs and Chemicals,Ecstasy,MDMA,MDMA,14 Pure MDMA **FAST SHIPPING SAME DAY PROCESSING*,475.00,United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/14-pure-mdma-fast-shipping-same-day-processing
12444,thisisAustralia,Drugs and Chemicals,Prescriptions Drugs,,Prescriptions Drugs,SOMA - 500mg x 50,85.27,Australia,Australia,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/soma-500mg-x-50-2
12445,topmoneymaker,Drugs and Chemicals,Cannabis & Hash,Edibles,Edibles,300x 4mg THC World Famous Sour Organic Gummy Bears,135.00,United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/300x-4mg-thc-world-famous-sour-organic-gummy-bears
12446,DrBlow,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,2oz. Platinum Cookies( A GRADE GREENHOUSE),350.00,United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/2oz-platinum-cookies-a-grade-greenhouse
12447,SteroidWarehouse,Drugs and Chemicals,Steroids,,Steroids,Finasteride – 60 tb/5 mg – Balkan - exp. 08/2021,47.73,Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/finasteride-60-tb5-mg-balkan-exp-082021
12448,PianoKeyz,Drugs and Chemicals,Cannabis & Hash,Synthetic,Synthetic,ADBB Cannabinoid 50g,550.00,United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/adbb-cannabinoid-50g
12449,dansharpe,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,2-10G Lemon Haze TOP QUALITY 21% THC,29.83,Belgium,Europe,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/2-10g-lemon-haze-top-quality-21-thc
12450,MedicineMan420,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,5G Tasty *U.S IMPORT*,125.12,United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/5g-tasty-us-import
12451,ICFMF,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,28G PURE FISH SCALE COCAINE,"1,900.00",United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/28g-pure-fish-scale-cocaine
12452,DutchGlory,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,(0.5G) - Colombian Cocaine *Pure/Uncut*,35.80,Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/05g-colombian-cocaine-pureuncut-2
12453,Mont-Blanc,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,1000 gram Premium Flake Cocaine 90% pure Fishscale,"46,532.73",Germany,Europe,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/1000-gram-premium-flake-cocaine-90-pure-fishscale
12454,MixedArbilyDE,Drugs and Chemicals,Stimulants,Speed,Speed,15g Amphetamine Paste 78% (Worldwide Delivery),113.36,Germany,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/15g-amphetamine-paste-78-worldwide-delivery
12455,inc,Drugs and Chemicals,Opiates,Heroin,Heroin,HEROIN 0.25G - MARKET HC GRADE - INC.,86.04,Australia,Australia,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/heroin-025g-market-hc-grade-inc
12456,Fragrantuntidy,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,[4 OZ] Outdoor- Pink Kush,150.00,Canada,"North America, Europe, Asia",http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/4-oz-outdoor-pink-kush
